County,FIPS,GEO_ID,Total,Range
Hennepin,27053,0500000US27053,30,30+
Ramsey,27123,0500000US27123,20,20-29
Scott,27139,0500000US27139,4,4-5
Dakota,27037,0500000US27037,10,6-10
Anoka,27003,0500000US27003,7,6-10
Crow Wing,27035,0500000US27035,3,2-3
Washington,27163,0500000US27163,5,4-5
McLeod,27085,0500000US27085,1,1
St. Louis,27137,0500000US27137,10,6-10
Lyon,27083,0500000US27083,2,2-3
Olmsted,27109,0500000US27109,2,2-3
Carver,27019,0500000US27019,6,6-10
Stevens,27149,0500000US27149,1,1
Roseau,27135,0500000US27135,3,2-3
Martin,27091,0500000US27091,2,2-3
Wabasha,27157,0500000US27157,1,1
Freeborn,27047,0500000US27047,1,1
Houston,27055,0500000US27055,3,2-3
Nicollet,27103,0500000US27103,1,1
Sherburne,27141,0500000US27141,3,2-3
Wright,27171,0500000US27171,7,6-10
Chisago,27025,0500000US27025,1,1
Winona,27169,0500000US27169,1,1
Hubbard,27057,0500000US27057,1,1
Brown,27015,0500000US27015,1,1
Cass,27021,0500000US27021,5,4-5
Chippewa,27023,0500000US27023,1,1
Lake,27075,0500000US27075,2,2-3
Kandiyohi,27067,0500000US27067,2,2-3
Pennington,27113,0500000US27113,1,1
Becker,27005,0500000US27005,3,2-3
Otter Tail,27111,0500000US27111,2,2-3
Pipestone,27117,0500000US27117,1,1
Big Stone,27011,0500000US27011,1,1
Douglas,27041,0500000US27041,1,1
Rice,27131,0500000US27131,2,2-3
Fillmore,27045,0500000US27045,1,1
Benton,27009,0500000US27009,1,1
Goodhue,27049,0500000US27049,4,4-5
Meeker,27093,0500000US27093,2,2-3
Nobles,27105,0500000US27105,1,1
Kanabec,27065,0500000US27065,1,1
Renville,27129,0500000US27129,2,2-3
Beltrami,27007,0500000US27007,4,4-5
Stearns,27145,0500000US27145,5,4-5
Faribault,27043,0500000US27043,1,1
Clay,27027,0500000US27027,1,1
Morrison,27097,0500000US27097,3,2-3
Steele,27147,0500000US27147,1,1
Wadena,27159,0500000US27159,1,1
Redwood,27127,0500000US27127,1,1
Itasca,27061,0500000US27061,2,2-3
Isanti,27059,0500000US27059,1,1
Lac qui Parle,27073,0500000US27073,2,2-3
Marshall,27089,0500000US27089,1,1
Carlton,27017,0500000US27017,5,4-5
Pine,27115,0500000US27115,1,1
Swift,27151,0500000US27151,1,1
Dodge,27039,0500000US27039,1,1
Blue Earth,27013,0500000US27013,1,1
Rock,27133,0500000US27133,1,1
Grant,27051,0500000US27051,2,2-3
